generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
8000,Eucalyptus_barberi,Eucalyptus_dalrympleana,0.977338,151.05,1.58976,5.29683,0
9000,Eucalyptus_obliqua,Eucalyptus_barberi,0,10.4567,0.508083,6.80917,0
9000,Eucalyptus_obliqua,Eucalyptus_sieberi,0.219779,19.6201,1.25703,15.5895,0
9000,Eucalyptus_obliqua,Eucalyptus_sieberi,0.980158,136.666,0.310033,4.45414,0
9000,Eucalyptus_obliqua,Eucalyptus_sieberi,0.288706,8.86883,1.59143,14.4435,0
9000,Eucalyptus_barberi,Eucalyptus_dalrympleana,0.622714,1.65711,0.0606456,19.1641,0
9000,Eucalyptus_barberi,Eucalyptus_dalrympleana,0.933471,9.61646,0.21272,24.8148,0
9000,Eucalyptus_barberi,Eucalyptus_dalrympleana,0.981042,149.135,0.646625,4.34934,0
10000,Eucalyptus_obliqua,Eucalyptus_barberi,0,5.85806,0.724656,13.7349,0
10000,Eucalyptus_obliqua,Eucalyptus_sieberi,0.989605,248.442,-0.0528389,4.55464,0
10000,Eucalyptus_barberi,Eucalyptus_dalrympleana,0.698831,5.11074,0.987307,2.83566,0
10000,Eucalyptus_barberi,Eucalyptus_dalrympleana,0.984825,132.397,0.846524,4.11829,0
11000,Eucalyptus_obliqua,Eucalyptus_barberi,0,0.590425,1.41321,4.54535,0
11000,Eucalyptus_obliqua,Eucalyptus_sieberi,0.982556,219.522,0.246146,7.52654,0
11000,Eucalyptus_barberi,Eucalyptus_dalrympleana,0.968018,132.239,0.802911,17.4974,0
12000,Eucalyptus_obliqua,Eucalyptus_barberi,0,1.72222,0.925724,3.65778,0
12000,Eucalyptus_obliqua,Eucalyptus_sieberi,0.989363,168.79,0.205787,4.60258,0
12000,Eucalyptus_barberi,Eucalyptus_dalrympleana,0.79709,15.2469,-1.91624,32.72,0
12000,Eucalyptus_barberi,Eucalyptus_dalrympleana,0.969933,7.63796,-0.111277,13.4937,0
12000,Eucalyptus_barberi,Eucalyptus_dalrympleana,0.981969,159.63,1.05899,4.41477,0
13000,Eucalyptus_obliqua,Eucalyptus_barberi,0,0.18715,1.29834,3.91657,0
13000,Eucalyptus_obliqua,Eucalyptus_sieberi,0.987655,198.002,-0.158422,5.56632,0
13000,Eucalyptus_barberi,Eucalyptus_dalrympleana,0.984871,134.981,1.3579,7.93485,0
14000,Eucalyptus_obliqua,Eucalyptus_barberi,0,0.415566,0.681913,8.07552,0
14000,Eucalyptus_obliqua,Eucalyptus_sieberi,0.837023,0.874316,-0.889741,0.662646,0
14000,Eucalyptus_obliqua,Eucalyptus_sieberi,0.987182,246.07,-0.672398,5.07938,0
14000,Eucalyptus_barberi,Eucalyptus_dalrympleana,0.985418,148.336,-1.03903,5.36725,0
15000,Eucalyptus_obliqua,Eucalyptus_barberi,0,0.664375,0.888666,1.05024,0
15000,Eucalyptus_obliqua,Eucalyptus_sieberi,0.982451,135.615,-1.381,5.97021,0
15000,Eucalyptus_barberi,Eucalyptus_dalrympleana,0.825654,7.97229,0.334945,30.529,0
15000,Eucalyptus_barberi,Eucalyptus_dalrympleana,0.985313,158.982,-0.451894,4.29329,0
16000,Eucalyptus_obliqua,Eucalyptus_barberi,0,0.681267,1.21558,0.225536,0
16000,Eucalyptus_obliqua,Eucalyptus_sieberi,0.738363,1.49488,0.322774,8.16182,0
16000,Eucalyptus_obliqua,Eucalyptus_sieberi,0.989819,168.227,-1.98769,0.75059,0
16000,Eucalyptus_barberi,Eucalyptus_dalrympleana,0.980284,136.812,1.76012,11.9917,0
17000,Eucalyptus_obliqua,Eucalyptus_barberi,0,6.65502,0.977113,0.230093,0
17000,Eucalyptus_obliqua,Eucalyptus_sieberi,0.788387,12.5437,-1.84123,48.9492,0
17000,Eucalyptus_obliqua,Eucalyptus_sieberi,0.983973,194.941,-2.60606,6.68038,0
17000,Eucalyptus_barberi,Eucalyptus_dalrympleana,0.0959617,5.30169,-1.01165,7.92149,0
17000,Eucalyptus_barberi,Eucalyptus_dalrympleana,0.419048,4.97121,0.782068,11.4009,0
17000,Eucalyptus_barberi,Eucalyptus_dalrympleana,0.979725,164.356,0.639247,8.4325,0
18000,Eucalyptus_obliqua,Eucalyptus_barberi,0,4.8235,-0.568703,4.09964,0
18000,Eucalyptus_obliqua,Eucalyptus_sieberi,0.985845,138.476,-2.08876,2.21787,0
18000,Eucalyptus_barberi,Eucalyptus_dalrympleana,0.783533,3.62168,1.0967,11.0873,0
18000,Eucalyptus_barberi,Eucalyptus_dalrympleana,0.980407,179.458,1.39918,8.46717,0
19000,Eucalyptus_obliqua,Eucalyptus_barberi,0,7.25543,-2.1072,6.86927,0
19000,Eucalyptus_obliqua,Eucalyptus_sieberi,0.984496,170.107,-1.77977,7.06326,0
19000,Eucalyptus_barberi,Eucalyptus_dalrympleana,0.964283,147.023,0.775493,4.20576,0
20000,Eucalyptus_obliqua,Eucalyptus_barberi,0,1.18028,-0.290003,3.69633,0
20000,Eucalyptus_obliqua,Eucalyptus_sieberi,0.977416,172.808,-3.56803,15.9653,0
20000,Eucalyptus_barberi,Eucalyptus_dalrympleana,0.980077,159.453,-2.37832,27.3638,0
21000,Eucalyptus_obliqua,Eucalyptus_barberi,0,6.23428,-1.47383,4.58541,0
21000,Eucalyptus_obliqua,Eucalyptus_sieberi,0.95898,137.409,-0.263623,7.20391,0
21000,Eucalyptus_barberi,Eucalyptus_dalrympleana,0.98516,126.669,-0.0987287,29.0478,0
22000,Eucalyptus_obliqua,Eucalyptus_barberi,0,14.8372,-0.527682,14.6002,0
22000,Eucalyptus_barberi,Eucalyptus_dalrympleana,0.770308,0.626458,-1.70885,14.8285,0
22000,Eucalyptus_obliqua,Eucalyptus_sieberi,0.976178,176.235,1.02422,4.41492,0
22000,Eucalyptus_barberi,Eucalyptus_dalrympleana,0.98474,236.83,0.486725,5.11251,0
23000,Eucalyptus_obliqua,Eucalyptus_barberi,0,1.70339,-0.293633,1.13676,0
23000,Eucalyptus_obliqua,Eucalyptus_sieberi,0.981432,214.502,-0.0449915,5.77419,0
23000,Eucalyptus_barberi,Eucalyptus_dalrympleana,0.985269,177.986,0.776837,15.6808,0
24000,Eucalyptus_obliqua,Eucalyptus_barberi,0,0.986973,-0.0872845,0.491142,0
24000,Eucalyptus_obliqua,Eucalyptus_sieberi,0.974009,89.3428,0.184976,17.9006,0
24000,Eucalyptus_barberi,Eucalyptus_dalrympleana,0.976714,228.7,2.31375,14.1381,0
